Production Information,,,,,,,,,,,,,
Cells,Image Series,Marker,Strain,Compressed Embryo?,Temporal Resolution,Segmentation,cytoshow link,Movie start time (min),isSulston?,Total Time Points,X_SCALE,Y_SCALE,Z_SCALE
all-nuclear positions,20140407_JIM113_SiO-0.15_1_s1,0,JIM113,Y,60 seconds,Starrynite,.,1,FALSE,1,1,1,1
AVG,20141022_JIM113_UNC-86myrGFP_1_S1,UNC-86,BV190,Y,75 seconds,Imaris Manual,.,.,.,.,.,.,.
SABD; DD1; DD2; DD3; DD4; DD5; DD6; DA2; DA3; DA4; DA5,OU415_4_w1GFP-RFP 561_s3,CND-1,OU415,Y,90 seconds,Imaris Manual,.,.,.,.,.,.,.
ASHR; ASHL; RIRL; RIBR,20150827_LF_BV220_unc_s2,CND-1,BV220,N,60 seconds,Imaris Manual,.,.,.,.,.,.,.
SIAVR; SIAVL; SIBDR; SIBDL; RIVL; RIVR,LF_BV286_20151107. S1,LIM-4,BV286,N,75 seconds,Imaris Manual,.,.,.,.,.,.,.
